Region,ISO_code,Cname,Vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
AMR,CRI,Costa Rica,Hib3,92,91,95,90,81,90,87,87,88,88,89,90,87,93,89,92,68,26,,,,,,,,,,,,,,,,,,
AFR,CIV,Côte d'Ivoire,Hib3,83,76,80,82,62,85,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,HRV,Croatia,Hib3,94,95,96,96,96,97,96,96,96,96,96,95,95,79,,,,,,,,,,,,,,,,,,,,,,
AMR,CUB,Cuba,Hib3,96,96,96,96,96,96,96,97,97,97,94,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,
EUR,CYP,Cyprus,Hib3,97,96,96,96,96,96,96,90,90,90,58,58,58,32,32,32,,,,,,,,,,,,,,,,,,,,
EUR,CZE,Czech Republic (the),Hib3,97,99,99,99,99,99,99,99,99,97,97,98,97,95,,,,,,,,,,,,,,,,,,,,,,
SEAR,PRK,Democratic People's Republic of Korea (the),Hib3,96,93,93,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,COD,Democratic Republic of the Congo (the),Hib3,81,80,74,75,74,60,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,DNK,Denmark,Hib3,93,94,94,94,91,90,89,88,87,93,93,95,96,96,95,95,95,97,99,93,78,88,82,,,,,,,,,,,,,
EMR,DJI,Djibouti,Hib3,84,78,82,81,87,88,89,89,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,DMA,Dominica,Hib3,98,97,96,97,98,98,99,96,93,7,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,DOM,Dominican Republic (the),Hib3,76,87,75,70,71,81,77,79,70,80,87,80,75,43,20,,,,,,,,,,,,,,,,,,,,,
AMR,ECU,Ecuador,Hib3,78,83,87,87,88,90,93,95,95,94,90,86,54,,,,,,,,,,,,,,,,,,,,,,,
EMR,EGY,Egypt,Hib3,93,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,SLV,El Salvador,Hib3,91,93,92,92,89,89,91,98,99,96,89,90,94,81,,,,,,,,,,,,,,,,,,,,,,
AFR,GNQ,Equatorial Guinea,Hib3,16,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,ERI,Eritrea,Hib3,95,94,94,94,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
