WHO_REGION,ISO_code,Cname,Vaccine,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
EMR,AFG,Afghanistan,Hib3,81,98,95,90,87,82,66,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,ALB,Albania,Hib3,99,99,99,99,99,99,99,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,DZA,Algeria,Hib3,95,95,95,95,95,95,95,95,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,AND,Andorra,Hib3,98,97,97,96,98,99,98,97,98,95,93,97,95,91,,92,90,80,55,,,,,,,,,,,,,,,,,,
AFR,AGO,Angola,Hib3,80,80,80,93,91,86,91,73,81,83,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,ATG,Antigua and Barbuda,Hib3,,99,99,99,98,99,98,94,99,99,99,99,97,99,82,97,,,,,,,,,,,,,,,,,,,,,
AMR,ARG,Argentina,Hib3,92,94,94,94,91,91,94,94,93,91,91,98,98,96,93,83,83,86,49,,,,,,,,,,,,,,,,,,
EUR,ARM,Armenia,Hib3,94,94,93,95,95,98,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,AUS,Australia,Hib3,94,93,91,91,92,92,92,92,94,94,95,94,95,95,95,95,90,87,82,77,,,,,,,,,,,,,,,,,
EUR,AUT,Austria,Hib3,87,,98,,,,,83,83,85,83,86,83,84,82,74,72,74,,,,,,,,,,,,,,,,,,,
EUR,AZE,Azerbaijan,Hib3,97,96,94,93,91,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,BHS,Bahamas (the),Hib3,94,95,96,97,98,98,98,96,94,95,95,93,93,93,94,99,90,78,,,,,,,,,,,,,,,,,,,
EMR,BHR,Bahrain,Hib3,99,98,98,99,99,99,99,97,97,97,98,98,98,97,98,99,97,96,39,,,,,,,,,,,,,,,,,,
SEAR,BGD,Bangladesh,Hib3,94,93,93,92,90,90,95,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,BRB,Barbados,Hib3,97,97,94,91,87,91,86,93,85,93,84,92,93,88,66,18,,,,,,,,,,,,,,,,,,,,,
EUR,BLR,Belarus,Hib3,97,98,99,98,99,99,93,96,6,,,,,,,,,,,,65,,,,,,,,,,,,,,,,
EUR,BEL,Belgium,Hib3,97,98,98,98,98,98,98,98,98,98,98,95,87,87,86,86,86,,,6,,,,20,,,,,,,,,,,,,
AMR,BLZ,Belize,Hib3,95,94,95,95,98,95,96,97,94,96,98,96,97,96,89,96,,,,,,,,,,,,,,,,,,,,,
AFR,BEN,Benin,Hib3,63,91,90,93,85,99,98,98,93,97,93,35,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,BTN,Bhutan,Hib3,98,,99,97,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,BOL,Bolivia (Plurinational State of),Hib3,,89,85,81,80,82,80,85,83,82,83,85,84,95,88,83,89,,,,,,,,,,,,,,,,,,,,
EUR,BIH,Bosnia and Herzegovina,Hib3,69,78,79,,87,85,84,80,83,95,85,50,54,,,,,,,,,,,,,,,,,,,,,,,,
AFR,BWA,Botswana,Hib3,85,80,94,,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,BRA,Brazil,Hib3,86,96,95,98,95,99,99,99,99,99,99,99,99,99,93,93,90,,,,,,,,,,,,,,,,,,,,
WPR,BRN,Brunei Darussalam,Hib3,99,99,96,99,90,97,99,99,98,99,99,99,92,92,94,99,,,,,,,,,,,,,,,,,,,,,
EUR,BGR,Bulgaria,Hib3,92,87,83,95,95,95,91,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,
AFR,BFA,Burkina Faso,Hib3,91,91,91,88,90,99,99,99,99,99,76,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,BDI,Burundi,Hib3,94,94,95,96,96,99,96,99,92,99,92,87,83,,,,,,,,,,,,,,,,,,,,,,,,
AFR,CPV,Cabo Verde,Hib3,,93,95,93,94,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,KHM,Cambodia,Hib3,99,98,97,92,95,94,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,CMR,Cameroon,Hib3,85,84,87,89,85,82,84,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,CAN,Canada,Hib3,91,91,,91,95,87,77,83,80,,95,,91,83,88,,,,98,87,84,,,,,,,,,,,,,,,,
AFR,CAF,Central African Republic (the),Hib3,54,47,45,28,58,64,58,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,TCD,Chad,Hib3,78,92,83,80,72,70,83,75,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,CHL,Chile,Hib3,95,96,95,90,90,94,92,94,95,96,94,91,93,96,97,97,91,95,90,90,91,,,,,,,,,,,,,,,,
AMR,COL,Colombia,Hib3,91,91,90,91,91,85,88,92,92,93,93,93,89,93,69,55,65,50,62,,,,,,,,,,,,,,,,,,
AFR,COM,Comoros (the),Hib3,91,80,80,83,86,83,74,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,COG,Congo (the),Hib3,73,80,90,85,85,90,90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,COK,Cook Islands,Hib3,99,99,99,98,98,93,99,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,CRI,Costa Rica,Hib3,97,92,91,95,90,81,93,87,88,88,88,89,90,87,92,89,92,68,26,,,,,,,,,,,,,,,,,,
AFR,CIV,Côte d'Ivoire,Hib3,96,91,87,99,94,62,85,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,HRV,Croatia,Hib3,87,94,95,96,,96,97,96,96,96,96,96,95,95,79,,,,,,,,,,,,,,,,,,,,,,
AMR,CUB,Cuba,Hib3,99,99,99,96,99,99,96,96,99,97,97,94,99,99,78,99,78,99,,,,,,,,,,,,,,,,,,,
EUR,CYP,Cyprus,Hib3,96,97,96,96,96,96,96,96,90,90,90,58,58,58,32,,32,,,,,,,,,,,,,,,,,,,,
EUR,CZE,Czech Republic (the),Hib3,96,97,99,99,99,99,99,,99,99,97,97,98,97,95,,,,,,,,,,,,,,,,,,,,,,
SEAR,PRK,Democratic People's Republic of Korea (the),Hib3,96,96,93,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,COD,Democratic Republic of the Congo (the),Hib3,92,94,93,87,89,90,78,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,DNK,Denmark,Hib3,94,93,94,94,94,91,90,89,,87,93,93,95,96,96,95,95,95,97,99,93,78,88,82,,,,,,,,,,,,,
EMR,DJI,Djibouti,Hib3,68,84,78,82,,87,88,89,89,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,DMA,Dominica,Hib3,99,98,97,97,97,98,98,99,96,93,7,,1,,,,46,,,,,,,,,,,,,,,,,,,,
AMR,DOM,Dominican Republic (the),Hib3,73,76,87,75,70,71,81,77,79,70,80,87,80,75,43,20,,,,,,,,,,,,,,,,,,,,,
AMR,ECU,Ecuador,Hib3,84,78,83,87,99,99,99,99,99,99,98,94,90,58,,,,,,,,,,,,,,,,,,,,,,,
EMR,EGY,Egypt,Hib3,95,93,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,SLV,El Salvador,Hib3,93,91,93,92,92,89,89,91,98,99,96,89,90,94,81,,,,,,,,,,,,,,,,,,,,,,
AFR,GNQ,Equatorial Guinea,Hib3,33,17,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,ERI,Eritrea,Hib3,95,95,94,94,94,94,85,85,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,EST,Estonia,Hib3,93,93,93,94,94,93,94,95,95,95,88,37,27,,,,,,,,,,,17,,,,,,,,,,,,,
AFR,ETH,Ethiopia,Hib3,96,96,84,82,83,87,86,79,81,73,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,FJI,Fiji,Hib3,93,94,98,98,91,84,87,75,99,83,81,75,71,88,85,82,,,,98,,,,,,,,,,,,,,,,,
EUR,FIN,Finland,Hib3,92,97,,98,99,99,,99,98,97,98,98,96,96,96,96,,,,,96,,93,97,97,,,,,,,,,,,,
EUR,FRA,France,Hib3,,,98,98,98,98,97,97,97,97,97,97,97,87,87,86,86,85,79,,,,,,,97,,,,,,,,,,,
AFR,GAB,Gabon,Hib3,75,80,70,79,82,75,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,GMB,Gambia (the),Hib3,95,97,96,98,98,96,95,94,92,90,95,95,90,80,80,96,74,,,,,,,,,,,,,,,,,,,,
EUR,GEO,Georgia,Hib3,92,87,91,96,92,94,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,DEU,Germany,Hib3,,94,94,94,94,93,94,94,94,94,94,92,92,90,88,85,82,80,74,80,70,70,65,65,65,60,,,,,,,,,,,
AFR,GHA,Ghana,Hib3,93,89,98,90,92,91,94,94,93,94,84,84,80,80,99,,,,,,,,,,,,,,,,,,,,,,
EUR,GRC,Greece,Hib3,99,99,99,95,95,83,,83,83,83,,,,,,,,88,,,,,3,,,,,,,,,,,,,,
AMR,GRD,Grenada,Hib3,96,92,97,99,97,95,97,99,99,99,91,99,83,97,98,96,33,,,,,,,,,,,,,,,,,,,,
AMR,GTM,Guatemala,Hib3,80,74,73,93,96,88,94,92,95,85,91,94,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,GIN,Guinea,Hib3,66,60,60,90,99,85,90,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,GNB,Guinea-Bissau,Hib3,68,90,83,96,90,89,86,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,GUY,Guyana,Hib3,97,95,98,98,97,93,95,98,93,94,93,93,91,91,91,85,,,,,,,,,,,,,,,,,,,,,
AMR,HTI,Haiti,Hib3,70,72,60,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,HND,Honduras,Hib3,99,99,85,87,88,99,99,98,93,94,95,98,94,92,95,96,94,,,,,,,,,,,,,,,,,,,,
EUR,HUN,Hungary,Hib3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,
EUR,ISL,Iceland,Hib3,91,92,90,91,89,95,,96,98,97,97,95,99,97,,92,98,,,,,99,99,99,99,99,,,,,,,,,,,
SEAR,IND,India,Hib3,80,45,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,IDN,Indonesia,Hib3,85,93,44,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,IRN,Iran (Islamic Republic of),Hib3,99,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,IRQ,Iraq,Hib3,73,68,74,78,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,IRL,Ireland,Hib3,,95,96,95,95,95,94,93,93,92,91,90,89,86,83,84,85,86,84,76,,,,,,,,,,,,,,,,,
EUR,ISR,Israel,Hib3,,,,96,94,94,95,96,94,95,94,93,95,93,93,93,94,93,92,92,92,93,92,,,,,,,,,,,,,,
EUR,ITA,Italy,Hib3,,93,94,95,96,96,95,96,96,96,96,95,94,90,83,70,55,45,20,18,15,10,,,,,,,,,,,,,,,
AMR,JAM,Jamaica,Hib3,99,91,92,93,96,91,94,90,87,85,87,89,82,19,7,3,,,,,,,,,,,,,,,,,,,,,
WPR,JPN,Japan,Hib3,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,JOR,Jordan,Hib3,98,99,98,98,98,98,98,98,97,98,98,95,95,97,95,59,,,,,,,,,,,,,,,,,,,,,
EUR,KAZ,Kazakhstan,Hib3,83,98,95,98,97,95,96,97,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,KEN,Kenya,Hib3,78,78,81,,83,88,83,75,85,81,80,76,73,73,84,,,,,,,,,,,,,,,,,,,,,,
WPR,KIR,Kiribati,Hib3,81,87,75,95,94,95,91,86,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,KWT,Kuwait,Hib3,,99,95,99,98,99,98,99,99,99,99,99,,,,,98,94,94,,,,,,,,,,,,,,,,,,
EUR,KGZ,Kyrgyzstan,Hib3,96,97,96,97,96,96,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,LAO,Lao People's Democratic Republic (the),Hib3,82,89,88,87,79,78,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,LVA,Latvia,Hib3,98,94,92,94,90,91,90,94,94,94,96,99,99,96,87,84,79,76,47,36,7,9,10,,,,,,,,,,,,,,
EMR,LBN,Lebanon,Hib3,90,91,97,98,95,95,94,93,93,48,46,47,,92,,,,,,,,,,,,,,,,,,,,,,,
AFR,LSO,Lesotho,Hib3,67,67,69,66,67,69,75,72,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,LBR,Liberia,Hib3,92,65,63,89,93,77,75,93,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,LBY,Libya,Hib3,97,,97,,98,,,98,98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,LTU,Lithuania,Hib3,94,93,93,93,93,92,95,98,96,95,94,61,35,11,5,4,3,2,,,,,,,,,,,,,,,,,,,
EUR,LUX,Luxembourg,Hib3,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,,,,,86,,,,,,,,,,,,,,,,,
AFR,MDG,Madagascar,Hib3,93,85,89,90,86,89,85,89,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,MWI,Malawi,Hib3,84,88,91,89,96,97,93,93,91,87,99,93,89,84,64,,,,,,,,,,,,,,,,,,,,,,
WPR,MYS,Malaysia,Hib3,95,99,97,97,99,95,95,95,95,90,89,85,71,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,MDV,Maldives,Hib3,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,MLI,Mali,Hib3,73,90,81,76,90,88,92,89,99,94,99,51,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,MLT,Malta,Hib3,97,97,99,99,99,96,76,73,72,72,83,83,55,93,71,84,93,,89,,38,,,,,,,,,,,,,,,,
WPR,MHL,Marshall Islands (the),Hib3,58,70,65,21,67,,92,99,,83,60,69,46,70,80,45,45,,,,,,,,,,,,,,,,,,,,
AFR,MRT,Mauritania,Hib3,86,73,84,80,80,75,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,MUS,Mauritius,Hib3,96,97,97,98,98,98,99,99,99,96,96,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,MEX,Mexico,Hib3,,87,87,83,99,97,95,95,96,98,98,98,98,98,97,97,97,,,,,,,,,,,,,,,,,,,,
WPR,FSM,Micronesia (Federated States of),Hib3,46,61,65,68,66,72,70,73,73,79,59,74,65,,,,75,40,,,,,,,,,,,,,,,,,,,
EUR,MCO,Monaco,Hib3,,,,,,,,,,,,,,,99,,,99,,,,,,,,,,,,,,,,,,,
WPR,MNG,Mongolia,Hib3,99,99,99,98,99,99,96,97,96,99,98,99,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,MNE,Montenegro,Hib3,,89,91,94,94,90,90,87,93,89,90,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,MAR,Morocco,Hib3,99,99,99,99,99,98,99,99,99,90,10,10,10,4,,5,,1,,,,,,,,,,,,,,,,,,,
AFR,MOZ,Mozambique,Hib3,96,80,88,78,76,76,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,MMR,Myanmar,Hib3,90,89,88,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,NAM,Namibia,Hib3,92,92,88,89,84,82,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,NRU,Nauru,Hib3,,91,75,,79,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,NPL,Nepal,Hib3,87,91,92,92,90,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,NLD,Netherlands (the),Hib3,95,96,96,97,97,97,97,97,97,97,96,96,97,97,96,96,96,96,96,96,96,,,,,,,,,,,,,,,,
WPR,NZL,New Zealand,Hib3,92,92,93,92,93,94,89,98,86,78,80,80,,,,90,90,88,81,86,,,,,,,,,,,,,,,,,
AMR,NIC,Nicaragua,Hib3,99,99,99,99,99,99,99,98,97,99,88,86,79,86,85,92,93,90,,,,,,,,,,,,,,,,,,,
AFR,NER,Niger (the),Hib3,92,90,93,92,96,97,92,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,NGA,Nigeria,Hib3,84,74,70,55,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,NIU,Niue,Hib3,,99,,99,99,99,99,99,99,99,99,99,99,,99,,99,,,,,,,,,,,,,,,,,,,,
EUR,NOR,Norway,Hib3,96,95,94,95,95,95,94,95,94,95,95,90,94,94,95,93,93,,,,97,,,,,,,,,,,,,,,,
EMR,OMN,Oman,Hib3,99,99,99,98,98,99,99,98,99,99,98,99,99,99,97,,,,,,,,,,,,,,,,,,,,,,
EMR,PAK,Pakistan,Hib3,86,75,70,66,89,89,88,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,PLW,Palau,Hib3,98,89,99,99,89,85,66,48,92,95,98,98,98,,90,,96,96,74,,,,,,,,,,,,,,,,,,
AMR,PAN,Panama,Hib3,86,73,80,80,85,87,94,85,86,85,99,88,99,98,99,99,,,,,,,,,,,,,,,,,,,,,
WPR,PNG,Papua New Guinea,Hib3,61,62,62,68,63,61,70,64,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,PRY,Paraguay,Hib3,80,80,74,73,74,76,76,72,76,78,85,87,88,55,,,,,,,,,,,,,,,,,,,,,,,
AMR,PER,Peru,Hib3,89,90,88,88,95,91,93,92,99,93,94,89,91,36,35,33,38,,17,,,,,,,,,,,,,,,,,,
WPR,PHL,Philippines (the),Hib3,91,60,96,89,88,87,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,POL,Poland,Hib3,,98,98,99,99,99,99,99,98,88,31,22,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,PRT,Portugal,Hib3,,98,98,98,98,97,97,96,97,97,97,93,95,99,94,,86,,95,,,,,,,,,,,,,,,,,,
