WHO_REGION,ISO_code,Cname,Vaccine,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
EUR,HRV,Croatia,HepB3,93,94,95,96,98,97,97,97,97,95,,,,,97,98,,,,,,,,,,,,,,,,,,,,,
AMR,CUB,Cuba,HepB3,99,99,99,96,99,99,96,96,99,93,89,99,99,99,98,99,98,99,98,98,,,,,,,,,,,,,,,,,
EUR,CYP,Cyprus,HepB3,97,97,96,96,96,96,96,96,93,93,93,88,88,88,89,,89,,,88,88,68,,,27,20,,,,,,,,,,,
EUR,CZE,Czech Republic (the),HepB3,96,97,99,99,99,99,99,99,99,99,98,99,98,67,86,,,,,,,,,,,,,,,,,,,,,,
SEAR,PRK,Democratic People's Republic of Korea (the),HepB3,96,96,93,,96,94,93,93,92,92,96,92,98,99,21,43,30,25,,37,,,,,,,,,,,,,,,,,
AFR,COD,Democratic Republic of the Congo (the),HepB3,92,94,93,87,89,90,78,92,83,87,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,DJI,Djibouti,HepB3,68,84,78,82,,87,88,89,88,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,DMA,Dominica,HepB3,99,98,97,97,97,98,98,99,96,93,7,,2,,,,,,,,,,,,,,,,,,,,,,,,
AMR,DOM,Dominican Republic (the),HepB3,80,81,89,80,74,80,83,80,81,81,84,87,82,79,63,66,68,76,62,46,49,47,28,,,,,,,,,,,,,,
AMR,ECU,Ecuador,HepB3,84,78,83,87,99,99,99,99,99,99,98,94,90,58,85,71,40,,,,,,,,,,,,,,,,,,,,
EMR,EGY,Egypt,HepB3,95,93,94,97,93,97,97,97,97,98,98,98,97,98,97,99,98,97,94,93,90,91,89,73,4,,,,,,,,,,,,
AMR,SLV,El Salvador,HepB3,93,91,93,92,92,89,89,91,98,99,96,89,90,94,81,75,99,1,,,,,,,,,,,,,,,,,,,
AFR,GNQ,Equatorial Guinea,HepB3,33,17,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,ERI,Eritrea,HepB3,95,95,94,94,94,94,85,85,85,80,80,80,68,75,70,,,,,,,,,,,,,,,,,,,,,,
EUR,EST,Estonia,HepB3,93,91,93,93,94,94,94,95,94,95,95,95,90,96,,90,0,,,,,,,,,,,,,,,,,,,,
AFR,ETH,Ethiopia,HepB3,96,96,84,82,83,87,86,79,81,73,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,FJI,Fiji,HepB3,93,94,98,98,91,84,87,75,99,84,81,75,73,92,78,93,,,98,98,,82,60,88,,,,,,,,,,,,,
EUR,FRA,France,HepB3,,,82,74,78,74,65,51,47,42,39,35,35,28,29,28,26,24,27,,,,,,,,,,,,,,,,,,
AFR,GAB,Gabon,HepB3,75,80,70,79,82,75,67,79,82,75,52,28,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,GMB,Gambia (the),HepB3,95,97,96,97,98,96,95,,92,90,95,95,95,90,90,84,87,88,93,94,88,,57,56,62,,93,,,,,,,,,,
EUR,GEO,Georgia,HepB3,92,94,91,96,92,89,95,54,89,94,84,79,64,48,51,61,55,,,,,,,,,,,,,,,,,,,,
EUR,DEU,Germany,HepB3,,88,88,87,86,87,90,91,90,87,86,84,81,81,71,57,45,32,15,70,,,,,,,,,,,,,,,,,
AFR,GHA,Ghana,HepB3,93,89,98,90,92,91,94,94,93,94,84,84,80,80,99,,,,,,,,,,,,,,,,,,,,,,
EUR,GRC,Greece,HepB3,96,96,96,98,98,95,,95,95,95,,,,,,,,88,,50,12,12,2,2,15,10,,,,,,,,,,,
AMR,GRD,Grenada,HepB3,96,92,97,99,97,94,97,99,99,99,91,99,83,98,98,96,,,,,,,,,,,,,,,,,,,,,
AMR,GTM,Guatemala,HepB3,80,74,73,93,96,88,94,92,95,85,91,94,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,GIN,Guinea,HepB3,66,60,60,90,99,85,90,85,70,83,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,GNB,Guinea-Bissau,HepB3,68,90,83,96,90,89,86,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,GUY,Guyana,HepB3,97,95,98,98,97,93,95,98,93,94,93,93,91,90,,85,,,,,,,,,,,,,,,,,,,,,
AMR,HTI,Haiti,HepB3,70,72,60,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,HND,Honduras,HepB3,99,99,85,87,88,99,99,98,93,94,95,98,94,92,95,96,94,95,88,75,,,,,,,,,,,,,,,,,
EUR,HUN,Hungary,HepB3,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,
SEAR,IND,India,HepB3,88,87,,67,70,47,91,34,50,69,72,68,78,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,IDN,Indonesia,HepB3,85,84,95,86,73,83,83,82,78,84,72,78,75,75,67,56,65,77,76,65,62,50,42,43,28,,,,,,,,,,,,
EMR,IRN,Iran (Islamic Republic of),HepB3,99,98,99,99,98,99,99,99,99,97,98,94,95,98,99,93,99,95,94,93,84,59,62,,,,,,,,,,,,,,
EMR,IRQ,Iraq,HepB3,73,68,74,78,73,89,84,86,79,70,75,82,81,56,74,64,67,52,3,65,11,57,40,,,,,,,,,,,,,,
EUR,IRL,Ireland,HepB3,,95,95,95,95,95,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,ISR,Israel,HepB3,,,,97,97,98,97,98,99,99,96,96,99,95,98,96,97,97,97,97,96,93,92,92,92,,,,,,,,,,,,
EUR,ITA,Italy,HepB3,,93,95,96,96,96,96,96,96,97,96,96,96,95,95,95,94,94,95,95,95,95,95,95,95,50,,,,,,,,,,,
AMR,JAM,Jamaica,HepB3,98,91,92,93,96,92,94,90,88,85,87,87,81,16,,,,,,,,,,,,,,,,,,,,,,,
EMR,JOR,Jordan,HepB3,98,99,98,98,98,98,98,98,97,98,98,95,95,97,95,97,93,78,91,90,99,35,,,,,,,,,,,,,,,
EUR,KAZ,Kazakhstan,HepB3,83,98,95,99,95,99,99,99,99,94,99,94,99,99,99,95,99,49,49,,,,,,,,,,,,,,,,,,
AFR,KEN,Kenya,HepB3,78,78,81,,83,88,83,75,85,81,80,76,73,73,84,,,,,,,,,,,,,,,,,,,,,,
WPR,KIR,Kiribati,HepB3,81,87,75,95,94,95,91,86,83,96,88,50,67,96,,85,90,82,89,97,66,36,36,8,6,7,73,,,,,,,,,,
EMR,KWT,Kuwait,HepB3,,99,96,99,98,99,99,99,99,99,99,99,,99,,,95,95,99,98,99,99,93,91,38,,,,,,,,,,,,
EUR,KGZ,Kyrgyzstan,HepB3,96,97,96,97,96,96,96,96,97,94,90,97,99,99,99,57,44,10,,,,,,,,,,,,,,,,,,,
WPR,LAO,Lao People's Democratic Republic (the),HepB3,82,89,88,87,79,78,74,67,61,50,57,49,45,50,,,,,,,,,,,,,,,,,,,,,,,
EUR,LVA,Latvia,HepB3,98,94,92,94,90,89,91,92,93,91,94,99,98,98,98,96,95,94,9,6,10,,,,,,,,,,,,,,,,
EMR,LBN,Lebanon,HepB3,90,91,97,98,95,95,94,93,93,48,54,47,,88,88,70,70,86,,,,,,,,,,,,,,,,,,,
AFR,LSO,Lesotho,HepB3,67,67,69,66,67,69,75,72,91,91,90,84,59,17,,,,,,,,,,,,,,,,,,,,,,,
AFR,LBR,Liberia,HepB3,92,65,63,89,93,77,75,93,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,LBY,Libya,HepB3,97,,97,,98,,,98,98,98,98,97,99,,91,93,,,,,,,,,,,,,,,,,,,,,
EUR,LTU,Lithuania,HepB3,95,94,94,93,93,95,95,95,96,96,95,95,94,78,94,95,99,96,73,,,,,,,,,,,,,,,,,,
EUR,LUX,Luxembourg,HepB3,94,99,94,94,94,95,95,95,94,87,95,95,,49,95,,,,,49,,,,,,,,,,,,,,,,,
AFR,MDG,Madagascar,HepB3,93,85,89,90,86,89,85,89,88,95,93,92,75,87,62,,,,,,,,,,,,,,,,,,,,,,
AFR,MWI,Malawi,HepB3,84,88,91,89,96,97,93,93,91,87,99,93,89,84,64,,,,,,,,,,,,,,,,,,,,,,
WPR,MYS,Malaysia,HepB3,98,99,96,96,98,95,95,95,95,90,87,92,94,91,93,95,94,91,91,91,87,91,90,86,86,89,86,69,,,,,,,,,
SEAR,MDV,Maldives,HepB3,99,99,99,99,99,96,97,98,98,98,98,98,97,98,98,98,96,90,45,50,96,,63,21,,,,,,,,,,,,,
AFR,MLI,Mali,HepB3,73,90,81,76,90,88,92,89,99,91,99,93,73,79,,,,,,,,,,,,,,,,,,,,,,,
EUR,MLT,Malta,HepB3,97,95,90,94,93,82,75,86,86,82,86,85,85,89,,,,,82,,,,,,,,,,,,,,,,,,
WPR,MHL,Marshall Islands (the),HepB3,73,85,79,41,80,,97,99,,93,97,89,72,74,77,76,38,80,80,70,68,47,46,17,24,,,3,,,,,,,,,
AFR,MRT,Mauritania,HepB3,86,73,84,80,80,75,64,64,74,74,68,42,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,MUS,Mauritius,HepB3,72,97,97,98,98,98,99,99,99,97,97,97,98,97,,93,88,85,90,90,,,,,,,,,,,,,,,,,
AMR,MEX,Mexico,HepB3,,82,84,79,99,98,93,95,71,98,98,98,98,98,97,97,97,,,,,,,,,,,,,,,,,,,,
WPR,FSM,Micronesia (Federated States of),HepB3,76,78,81,83,82,83,88,89,89,90,84,91,80,89,,81,87,77,79,78,,82,82,82,,,,47,,,,,,,,,
EUR,MCO,Monaco,HepB3,,,,,,,,,,,,,,,99,,,99,,,,,,,,,,,,,,,,,,,
WPR,MNG,Mongolia,HepB3,99,99,99,98,99,99,96,97,96,98,98,98,98,98,98,95,93,92,91,88,93,88,67,69,47,18,,,,,,,,,,,
EUR,MNE,Montenegro,HepB3,,82,87,90,90,91,90,87,93,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,MAR,Morocco,HepB3,99,99,99,99,99,98,98,98,97,95,95,96,95,90,92,84,43,10,,,,,,,,,,,,,,,,,,,
AFR,MOZ,Mozambique,HepB3,96,80,88,78,76,76,74,76,80,75,95,75,65,85,84,25,,,,,,,,,,,,,,,,,,,,,
SEAR,MMR,Myanmar,HepB3,90,89,88,72,,38,90,90,84,85,75,62,54,34,,,,,,,,,,,,,,,,,,,,,,,
AFR,NAM,Namibia,HepB3,92,92,88,89,84,82,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,NRU,Nauru,HepB3,,91,95,,79,99,99,99,99,99,99,80,75,,75,95,58,62,29,86,,57,,99,,79,,,,,,,,,,,
SEAR,NPL,Nepal,HepB3,87,91,92,92,90,92,82,89,82,82,69,75,87,15,,,,,,,,,,,,,,,,,,,,,,,
EUR,NLD,Netherlands (the),HepB3,93,94,92,51,20,20,19,19,19,18,17,15,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,NZL,New Zealand,HepB3,92,92,93,93,93,95,90,93,90,88,87,87,,,,90,90,89,87,99,,88,81,,67,,,,,,,,,,,,
AMR,NIC,Nicaragua,HepB3,99,99,99,99,99,99,99,98,97,99,88,86,79,86,85,92,93,90,,,,,,,,,,,,,,,,,,,
AFR,NER,Niger (the),HepB3,92,90,93,92,96,97,92,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,NGA,Nigeria,HepB3,84,74,70,65,84,57,66,65,50,51,36,27,8,,,,,,,,,,,,,,,,,,,,,,,,
WPR,NIU,Niue,HepB3,,99,,99,99,99,99,99,99,99,99,86,99,,99,99,99,99,99,99,99,90,99,99,99,99,,,,,,,,,,,
EMR,OMN,Oman,HepB3,99,99,99,98,98,99,99,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,96,99,94,,,,,,,,,,,
EMR,PAK,Pakistan,HepB3,86,75,70,66,89,89,88,85,73,83,83,73,65,63,,,,,,,,,,,,,,,,,,,,,,,
WPR,PLW,Palau,HepB3,98,90,99,99,89,91,80,69,92,91,98,98,98,,99,,96,96,96,90,99,99,73,94,75,89,,,,,,,,,,,
AMR,PAN,Panama,HepB3,86,73,80,80,85,87,94,85,86,85,99,88,99,98,99,99,,,,,,,,,,,,,,,,,,,,,
WPR,PNG,Papua New Guinea,HepB3,61,62,62,68,63,61,89,64,56,59,70,63,60,67,60,41,57,54,47,44,43,23,20,7,12,19,20,,,,,,,,,,
AMR,PRY,Paraguay,HepB3,80,80,74,73,74,76,76,72,76,78,85,87,88,86,,,,,,,,,,,,,,,,,,,,,,,
AMR,PER,Peru,HepB3,89,90,88,88,95,91,93,92,99,93,94,89,87,60,,92,44,,71,67,,,,,,,,,,,,,,,,,
WPR,PHL,Philippines (the),HepB3,91,60,96,89,88,87,77,85,88,87,77,49,48,52,42,45,7,45,30,29,49,,,,,,,,,,,,,,,,
EUR,POL,Poland,HepB3,,96,96,96,97,98,98,98,98,98,98,98,98,97,98,95,99,99,99,97,56,23,4,1,1,1,,,,,,,,,,,
EUR,PRT,Portugal,HepB3,,98,98,98,98,97,97,96,97,97,97,94,94,94,97,,58,,64,,34,6,,,,,,,,,,,,,,,
EMR,QAT,Qatar,HepB3,98,99,89,99,92,93,97,99,,94,96,97,97,93,98,93,89,92,92,90,90,90,90,93,89,86,,,,,,,,,,,
WPR,KOR,Republic of Korea (the),HepB3,98,98,99,99,99,99,94,94,94,91,99,99,92,91,92,89,93,,82,,,99,,,,,,,,,,,,,,,
EUR,MDA,Republic of Moldova (the),HepB3,91,88,92,91,94,96,98,95,97,95,98,99,99,99,99,94,92,94,93,87,81,19,,,,,,,,,,,,,,,
EUR,ROU,Romania,HepB3,90,90,94,96,96,96,98,95,,99,99,98,99,98,99,98,98,99,99,99,99,,,,,,,,,,,,,,,,
EUR,RUS,Russian Federation (the),HepB3,97,97,97,97,97,97,97,98,98,98,98,97,96,94,81,43,10,3,,,,,,,,,,,,,,,,,,,
AFR,RWA,Rwanda,HepB3,98,99,98,99,99,97,97,97,97,97,99,95,89,96,88,,,,,,,,,,,,,,,,,,,,,,
AMR,KNA,Saint Kitts and Nevis,HepB3,98,94,98,97,99,98,96,99,98,99,99,99,96,99,96,99,99,99,99,,,,,,,,,,,,,,,,,,
AMR,LCA,Saint Lucia,HepB3,,99,99,99,98,99,97,95,96,99,85,95,91,84,14,,,,,,,,,,,,,,,,,,,,,,
AMR,VCT,Saint Vincent and the Grenadines,HepB3,99,99,98,99,96,96,99,99,99,99,99,99,99,31,,,,,,,,,,,,,,,,,,,,,,,
WPR,WSM,Samoa,HepB3,90,94,91,95,99,91,87,72,38,69,56,60,70,,98,98,96,99,99,99,98,96,94,1,18,,,,,,,,,,,,
EUR,SMR,San Marino,HepB3,66,75,80,69,96,86,78,92,87,92,95,95,97,96,,,94,97,,,,,,98,99,99,,,,,,,,,,,
AFR,STP,Sao Tome and Principe,HepB3,96,96,95,97,96,96,98,98,99,99,75,96,99,43,,,,,,,,,,,,,,,,,,,,,,,
EMR,SAU,Saudi Arabia,HepB3,98,98,98,98,98,98,98,98,98,96,96,97,96,95,97,95,93,92,95,91,92,93,94,93,89,86,66,,,,,,,,,,
AFR,SEN,Senegal,HepB3,93,89,89,92,83,83,70,86,88,94,89,84,54,,,,,,,,,,,,,,,,,,,,,,,,
EUR,SRB,Serbia,HepB3,91,94,92,91,97,94,81,93,93,99,93,65,89,,,,,,,,,,,,,,,,,,,,,,,,
AFR,SYC,Seychelles,HepB3,96,97,99,98,98,99,99,98,99,99,99,99,99,99,98,95,,99,96,,,99,,,,,,,,,,,,,,,
AFR,SLE,Sierra Leone,HepB3,84,86,83,92,91,76,76,91,87,79,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,SGP,Singapore,HepB3,,96,96,97,97,96,96,97,96,95,94,96,94,95,95,95,97,96,96,97,96,96,94,90,78,,74,,,,,,,,,,
EUR,SVK,Slovakia,HepB3,96,96,97,98,99,99,99,99,99,99,99,99,99,99,99,99,98,,,,,,,,,,,,,,,,,,,,
EUR,SVN,Slovenia,HepB3,,89,89,90,92,92,,97,98,,,,,,,97,,95,,,,,,,,,,,,,,,,,,,
WPR,SLB,Solomon Islands,HepB3,94,87,77,83,90,88,79,81,77,79,93,73,72,78,69,78,,,,73,97,68,65,53,,,,,,,,,,,,,
EMR,SOM,Somalia,HepB3,,,65,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,ZAF,South Africa,HepB3,84,93,98,88,86,94,89,99,93,99,99,96,71,94,83,80,88,,,,,,,,,,,,,,,,,,,,
AFR,SSD,South Sudan,HepB3,45,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,ESP,Spain,HepB3,97,97,96,95,96,97,97,96,97,96,97,96,97,81,82,83,77,80,81,84,82,,,,,,,,,,,,,,,,
SEAR,LKA,Sri Lanka,HepB3,99,99,99,99,99,99,99,97,98,98,98,99,85,99,,,,,,,,,,,,,,,,,,,,,,,
EMR,SDN,Sudan (the),HepB3,93,93,94,93,92,93,95,91,93,91,68,52,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,SUR,Suriname,HepB3,91,89,85,86,84,86,86,87,84,84,84,83,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,SWZ,Swaziland,HepB3,90,,98,98,95,91,89,72,80,68,68,71,78,95,78,78,,76,76,76,76,,,,,,,,,,,,,,,,
EUR,SWE,Sweden,HepB3,67,53,42,35,30,29,27,23,16,4,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
EUR,CHE,Switzerland,HepB3,,17,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,SYR,Syrian Arab Republic (the),HepB3,65,56,62,86,58,81,99,99,98,98,98,98,98,98,98,89,90,91,91,84,82,74,64,23,5,,,,,,,,,,,,
EUR,TJK,Tajikistan,HepB3,97,96,97,96,94,96,93,93,86,84,94,94,85,60,39,,,,,,,,,,,,,,,,,,,,,,
SEAR,THA,Thailand,HepB3,99,99,99,99,98,98,98,98,98,96,96,96,96,96,,95,95,95,,,,92,66,57,15,,,,,,,,,,,,
EUR,MKD,The former Yugoslav Republic of Macedonia,HepB3,,92,97,97,98,96,90,95,97,96,93,91,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,TLS,Timor-Leste,HepB3,95,90,77,82,83,67,72,72,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,TGO,Togo,HepB3,89,88,87,84,84,92,92,89,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,TON,Tonga,HepB3,96,96,95,99,95,99,99,99,98,99,99,99,99,93,,96,97,93,96,95,94,91,90,96,82,,94,,,,,,,,,,
AMR,TTO,Trinidad and Tobago,HepB3,97,90,92,92,92,90,90,90,90,89,89,95,94,76,5,,,,60,,,,,,,,,,,,,,,,,,
EMR,TUN,Tunisia,HepB3,98,98,98,98,97,98,98,99,99,98,99,97,96,92,93,94,88,94,92,90,78,,,,,,,,,,,,,,,,
EUR,TUR,Turkey,HepB3,,97,96,97,97,96,96,94,92,96,82,85,77,68,72,77,71,,,,,,,,,,,,,,,,,,,,
EUR,TKM,Turkmenistan,HepB3,98,99,97,98,98,97,96,97,96,98,98,99,97,97,96,,,,,,,,,,,,,,,,,,,,,,
WPR,TUV,Tuvalu,HepB3,94,96,89,90,97,96,89,91,99,97,97,79,98,95,99,99,81,93,96,88,86,49,17,,,,,,,,,,,,,,
AFR,UGA,Uganda,HepB3,93,89,99,97,78,82,80,83,79,85,80,84,87,63,42,,,,,,,,,,,,,,,,,,,,,,
EUR,UKR,Ukraine,HepB3,26,22,,,46,21,48,,84,92,96,97,98,77,49,7,4,,,,,,,,,,,,,,,,,,,,
EMR,ARE,United Arab Emirates (the),HepB3,99,99,99,99,99,,94,,92,92,92,92,92,92,92,92,92,92,96,90,90,90,90,90,,,,,,,,,,,,,
AFR,TZA,United Republic of Tanzania,HepB3,97,98,97,91,92,92,91,85,86,83,90,90,95,95,89,,,,,,,,,,,,,,,,,,,,,,
AMR,USA,United States of America (the),HepB3,93,92,92,91,90,91,91,92,94,93,93,93,92,92,88,89,90,88,87,84,82,68,42,16,,,,,,,,,,,,,
AMR,URY,Uruguay,HepB3,,95,95,95,95,95,95,95,94,94,95,96,94,91,95,94,92,93,,,,,,,,,,,,,,,,,,,
EUR,UZB,Uzbekistan,HepB3,99,99,99,99,99,99,99,98,91,99,98,99,99,99,62,,,1,,,,,,,,,,,,,,,,,,,
WPR,VUT,Vanuatu,HepB3,81,80,86,75,95,92,90,82,,76,85,56,,56,,69,75,75,75,75,69,66,69,82,82,46,,,,,,,,,,,
AMR,VEN,Venezuela (Bolivarian Republic of),HepB3,84,87,78,82,81,78,78,84,53,62,71,88,82,72,60,53,5,1,1,1,,,,,,,,,,,,,,,,,
WPR,VNM,Viet Nam,HepB3,96,97,95,59,97,95,88,94,87,67,93,94,94,78,65,97,94,82,69,,,,,,,,,,,,,,,,,,
EMR,YEM,Yemen,HepB3,86,84,88,88,82,81,87,86,87,87,85,86,48,42,34,21,15,9,,,,,,,,,,,,,,,,,,,
