Region,ISO_code,Cname,Vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
EUR,ISR,Israel,MCV2,97,99,95,95,88,92,92,96,95,95,97,97,97,97,97,,,,,,,,,,,,,,,,,,,,,
EUR,ITA,Italy,MCV2,83,83,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,JAM,Jamaica,MCV2,83,72,71,76,60,56,78,80,84,88,91,95,95,96,96,,,,,,,,,,,,,,,,,,,,,
WPR,JPN,Japan,MCV2,93,94,93,92,92,97,92,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,JOR,Jordan,MCV2,96,98,98,96,95,95,90,90,97,88,92,98,91,90,87,83,,,,,,,,,,,,,,,,,,,,
EUR,KAZ,Kazakhstan,MCV2,98,99,99,97,99,99,99,99,99,99,96,99,99,98,95,98,,,,,,,,,,,,,,,,,,,,
AFR,KEN,Kenya,MCV2,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,KIR,Kiribati,MCV2,76,80,84,9,61,21,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,KWT,Kuwait,MCV2,96,86,99,99,99,99,94,86,90,96,77,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,KGZ,Kyrgyzstan,MCV2,96,97,97,98,98,98,98,97,95,97,98,98,98,98,98,96,,,,,,,,,,,,,,,,,,,,
WPR,LAO,Lao People's Democratic Republic (the),MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,LVA,Latvia,MCV2,92,89,92,92,92,93,92,94,98,99,99,98,97,96,95,90,,,,,,,,,,,,,,,,,,,,
EMR,LBN,Lebanon,MCV2,75,75,75,75,75,75,75,65,55,45,34,24,14,28,42,56,,,,,,,,,,,,,,,,,,,,
AFR,LSO,Lesotho,MCV2,82,82,82,82,82,81,81,80,80,80,68,56,47,50,46,,,,,,,,,,,,,,,,,,,,,
AFR,LBR,Liberia,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,LBY,Libya,MCV2,92,92,95,97,97,97,97,97,97,96,95,95,90,86,81,,,,,,,,,,,,,,,,,,,,,
EUR,LTU,Lithuania,MCV2,92,92,92,93,94,95,94,96,96,94,95,93,93,95,96,97,,,,,,,,,,,,,,,,,,,,
EUR,LUX,Luxembourg,MCV2,86,86,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,MDG,Madagascar,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,MWI,Malawi,MCV2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,MYS,Malaysia,MCV2,99,99,99,99,95,95,95,93,92,90,90,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,MDV,Maldives,MCV2,99,97,99,99,96,96,96,76,56,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,MLI,Mali,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,MLT,Malta,MCV2,91,94,88,91,85,85,85,83,77,86,60,31,2,,,,,,,,,,,,,,,,,,,,,,,
WPR,MHL,Marshall Islands (the),MCV2,70,53,56,58,74,90,66,79,91,60,71,92,90,70,6,6,,,,,,,,,,,,,,,,,,,,
AFR,MRT,Mauritania,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,MUS,Mauritius,MCV2,85,85,85,90,89,90,85,83,80,85,78,80,,,,,,,,,,,,,,,,,,,,,,,,
AMR,MEX,Mexico,MCV2,96,95,76,92,97,91,92,94,85,91,97,97,96,89,99,98,,,,,,,,,,,,,,,,,,,,
WPR,FSM,Micronesia (Federated States of),MCV2,74,75,75,70,75,75,82,84,86,85,84,74,66,65,64,50,,,,,,,,,,,,,,,,,,,,
EUR,MCO,Monaco,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,MNG,Mongolia,MCV2,98,98,97,98,98,95,97,96,97,96,98,98,98,96,95,75,,,,,,,,,,,,,,,,,,,,
EUR,MNE,Montenegro,MCV2,94,95,94,97,97,97,96,96,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,MAR,Morocco,MCV2,95,54,,,,,,,92,92,92,91,,,,,,,,,,,,,,,,,,,,,,,,
AFR,MOZ,Mozambique,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,MMR,Myanmar,MCV2,80,80,80,,80,75,65,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,NAM,Namibia,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,NRU,Nauru,MCV2,96,94,88,81,99,99,92,99,99,97,50,60,72,83,95,,,,,,,,,,,,,,,,,,,,,
SEAR,NPL,Nepal,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,NLD,Netherlands (the),MCV2,92,93,92,93,93,92,93,93,92,92,93,98,98,96,,,,,,,,,,,,,,,,,,,,,,
WPR,NZL,New Zealand,MCV2,87,86,86,85,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,NIC,Nicaragua,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,NER,Niger (the),MCV2,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,NGA,Nigeria,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,NIU,Niue,MCV2,99,99,99,98,98,99,99,99,99,99,70,99,86,90,99,99,,,,,,,,,,,,,,,,,,,,
EUR,NOR,Norway,MCV2,91,92,91,91,94,97,96,95,93,91,91,90,89,90,90,90,,,,,,,,,,,,,,,,,,,,
EMR,OMN,Oman,MCV2,98,99,99,99,99,99,99,98,95,97,97,98,98,98,99,99,,,,,,,,,,,,,,,,,,,,
EMR,PAK,Pakistan,MCV2,53,53,53,53,53,51,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,PLW,Palau,MCV2,82,81,98,86,83,39,79,77,83,98,95,98,94,90,83,75,,,,,,,,,,,,,,,,,,,,
AMR,PAN,Panama,MCV2,92,90,68,72,81,73,76,79,83,86,89,89,89,88,88,88,,,,,,,,,,,,,,,,,,,,
WPR,PNG,Papua New Guinea,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,PRY,Paraguay,MCV2,77,81,81,79,82,81,80,84,74,61,31,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,PER,Peru,MCV2,63,44,54,63,70,56,42,17,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,PHL,Philippines (the),MCV2,67,64,53,38,28,10,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,POL,Poland,MCV2,94,95,93,95,95,94,95,97,98,99,90,96,97,97,96,96,,,,,,,,,,,,,,,,,,,,
EUR,PRT,Portugal,MCV2,95,96,96,96,96,95,95,95,95,95,87,79,72,64,56,48,,,,,,,,,,,,,,,,,,,,
EMR,QAT,Qatar,MCV2,91,94,99,99,99,98,99,95,91,87,98,95,91,91,,,,,,,,,,,,,,,,,,,,,,
WPR,KOR,Republic of Korea (the),MCV2,97,96,95,97,98,98,99,99,99,99,99,99,95,95,67,39,,,,,,,,,,,,,,,,,,,,
EUR,MDA,Republic of Moldova (the),MCV2,90,93,94,95,96,98,98,97,95,99,98,98,96,69,,,,,,,,,,,,,,,,,,,,,,
EUR,ROU,Romania,MCV2,88,88,88,90,91,93,94,95,96,96,96,96,97,97,97,96,,,,,,,,,,,,,,,,,,,,
EUR,RUS,Russian Federation (the),MCV2,97,97,97,97,97,98,97,97,97,97,97,97,96,93,88,86,,,,,,,,,,,,,,,,,,,,
AFR,RWA,Rwanda,MCV2,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,KNA,Saint Kitts and Nevis,MCV2,90,90,94,90,99,99,99,94,95,96,97,98,98,99,99,99,,,,,,,,,,,,,,,,,,,,
AMR,LCA,Saint Lucia,MCV2,95,79,62,80,72,74,63,22,33,45,56,67,69,71,73,89,,,,,,,,,,,,,,,,,,,,
AMR,VCT,Saint Vincent and the Grenadines,MCV2,99,98,96,92,91,89,94,94,83,88,93,73,86,99,99,,,,,,,,,,,,,,,,,,,,,
WPR,WSM,Samoa,MCV2,48,63,72,52,50,30,14,46,36,6,26,45,65,84,,,,,,,,,,,,,,,,,,,,,,
EUR,SMR,San Marino,MCV2,82,76,77,88,84,86,88,89,91,93,94,96,96,,,,,,,,,,,,,,,,,,,,,,,
AFR,STP,Sao Tome and Principe,MCV2,76,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,SAU,Saudi Arabia,MCV2,96,98,99,98,97,98,98,98,98,97,97,97,97,96,96,,,,,,,,,,,,,,,,,,,,,
AFR,SEN,Senegal,MCV2,54,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,SRB,Serbia,MCV2,86,91,82,90,90,91,87,97,96,90,98,96,96,75,74,78,,,,,,,,,,,,,,,,,,,,
AFR,SYC,Seychelles,MCV2,98,98,97,99,99,98,99,98,99,99,99,99,99,99,98,,,,,,,,,,,,,,,,,,,,,
AFR,SLE,Sierra Leone,MCV2,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,SGP,Singapore,MCV2,88,88,86,95,94,94,93,93,96,95,95,95,94,95,94,94,,,,,,,,,,,,,,,,,,,,
EUR,SVK,Slovakia,MCV2,98,98,99,99,99,99,99,99,98,99,98,98,99,99,99,99,,,,,,,,,,,,,,,,,,,,
EUR,SVN,Slovenia,MCV2,96,94,95,96,96,96,98,98,98,99,99,99,98,98,98,98,,,,,,,,,,,,,,,,,,,,
WPR,SLB,Solomon Islands,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,SOM,Somalia,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,ZAF,South Africa,MCV2,63,60,53,67,62,62,66,49,48,51,44,47,49,51,50,57,,,,,,,,,,,,,,,,,,,,
AFR,SSD,South Sudan,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,ESP,Spain,MCV2,94,93,91,90,91,92,90,94,95,94,92,91,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,LKA,Sri Lanka,MCV2,99,99,99,99,99,99,97,97,97,98,99,95,90,92,52,,,,,,,,,,,,,,,,,,,,,
EMR,SDN,Sudan (the),MCV2,69,61,57,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,SUR,Suriname,MCV2,28,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,SWZ,Swaziland,MCV2,89,89,89,52,92,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,
EUR,SWE,Sweden,MCV2,95,95,95,95,95,94,95,94,95,95,95,95,95,94,94,94,,,,,,,,,,,,,,,,,,,,
EUR,CHE,Switzerland,MCV2,89,87,86,86,86,83,83,83,71,71,71,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,SYR,Syrian Arab Republic (the),MCV2,47,49,51,53,71,82,82,81,81,81,81,82,83,84,83,80,,,,,,,,,,,,,,,,,,,,
EUR,TJK,Tajikistan,MCV2,94,98,92,97,96,95,93,87,90,96,92,98,94,93,72,59,,,,,,,,,,,,,,,,,,,,
SEAR,THA,Thailand,MCV2,95,94,94,91,91,91,91,91,94,94,95,95,92,89,86,99,,,,,,,,,,,,,,,,,,,,
EUR,MKD,The former Yugoslav Republic of Macedonia,MCV2,93,96,96,96,98,99,97,95,95,96,95,95,97,95,94,95,,,,,,,,,,,,,,,,,,,,
SEAR,TLS,Timor-Leste,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,TGO,Togo,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,TON,Tonga,MCV2,67,67,67,62,66,67,70,72,75,78,79,83,82,,,,,,,,,,,,,,,,,,,,,,,
AMR,TTO,Trinidad and Tobago,MCV2,79,93,86,85,83,82,80,81,87,78,84,78,73,77,80,,,,,,,,,,,,,,,,,,,,,
EMR,TUN,Tunisia,MCV2,98,95,98,96,96,98,97,99,98,98,99,99,99,98,99,98,,,,,,,,,,,,,,,,,,,,
EUR,TUR,Turkey,MCV2,88,88,98,85,86,91,88,92,94,84,98,97,97,83,91,,,,,,,,,,,,,,,,,,,,,
EUR,TKM,Turkmenistan,MCV2,99,99,99,99,99,99,99,99,98,99,98,90,89,87,94,92,,,,,,,,,,,,,,,,,,,,
WPR,TUV,Tuvalu,MCV2,86,91,84,93,90,87,84,82,74,83,86,90,93,97,99,,,,,,,,,,,,,,,,,,,,,
AFR,UGA,Uganda,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,UKR,Ukraine,MCV2,57,57,54,54,56,41,68,95,96,98,96,97,99,98,98,99,,,,,,,,,,,,,,,,,,,,
EMR,ARE,United Arab Emirates (the),MCV2,99,99,98,96,95,94,93,92,93,93,94,92,92,92,92,92,,,,,,,,,,,,,,,,,,,,
EUR,GBR,United Kingdom of Great Britain and Northern Ireland (the),MCV2,91,89,88,87,85,84,79,75,74,75,75,76,77,74,74,76,,,,,,,,,,,,,,,,,,,,
AFR,TZA,United Republic of Tanzania,MCV2,57,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,USA,United States of America (the),MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,URY,Uruguay,MCV2,93,93,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,UZB,Uzbekistan,MCV2,99,99,99,99,99,54,8,26,44,63,81,99,98,97,98,98,,,,,,,,,,,,,,,,,,,,
WPR,VUT,Vanuatu,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,VEN,Venezuela (Bolivarian Republic of),MCV2,57,50,38,33,26,31,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,VNM,Viet Nam,MCV2,92,94,86,83,93,98,96,97,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,YEM,Yemen,MCV2,41,45,47,40,46,43,38,35,32,26,21,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,ZMB,Zambia,MCV2,47,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,ZWE,Zimbabwe,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
