Region,ISO_code,Cname,Vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
AFR,COM,Comoros (the),HepB3,80,80,83,86,83,74,83,81,75,69,68,77,28,,,,,,,,,,,,,,,,,,,,,,,
AFR,COG,Congo (the),HepB3,80,90,85,79,80,74,75,73,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,COK,Cook Islands,HepB3,99,99,98,98,93,99,82,99,99,99,99,99,93,93,93,98,90,88,99,65,85,79,76,98,85,71,,,,,,,,,,
AMR,CRI,Costa Rica,HepB3,92,91,94,91,84,89,87,89,89,88,90,89,86,94,80,89,83,86,76,,,,,,,,,,,,,,,,,
AFR,CIV,Côte d'Ivoire,HepB3,83,76,80,82,62,85,81,74,76,77,76,67,63,48,10,,,,,,,,,,,,,,,,,,,,,
EUR,HRV,Croatia,HepB3,94,95,96,98,97,97,97,97,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,CUB,Cuba,HepB3,96,96,96,96,96,96,96,95,93,89,95,99,99,98,98,98,99,98,98,99,99,98,84,,,,,,,,,,,,,
EUR,CYP,Cyprus,HepB3,97,96,96,96,96,96,96,93,93,93,88,88,88,88,89,89,89,88,88,88,68,54,41,27,20,,,,,,,,,,,
EUR,CZE,Czech Republic (the),HepB3,97,99,99,99,99,99,99,99,99,98,99,98,92,86,,,,,,,,,,,,,,,,,,,,,,
SEAR,PRK,Democratic People's Republic of Korea (the),HepB3,96,93,93,96,94,93,93,92,92,96,92,98,27,,,,,,,,,,,,,,,,,,,,,,,
AFR,COD,Democratic Republic of the Congo (the),HepB3,81,80,74,75,74,60,72,65,70,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,DNK,Denmark,HepB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,DJI,Djibouti,HepB3,84,78,82,81,87,88,89,88,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,DMA,Dominica,HepB3,98,97,96,97,98,98,99,96,93,7,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,DOM,Dominican Republic (the),HepB3,81,89,80,74,80,83,80,81,81,84,87,82,79,63,66,68,76,62,,,,,,,,,,,,,,,,,,
AMR,ECU,Ecuador,HepB3,78,83,87,88,88,90,91,93,94,96,92,88,82,75,69,36,,,,,,,,,,,,,,,,,,,,
EMR,EGY,Egypt,HepB3,93,94,97,93,96,97,97,97,98,98,98,97,98,97,99,98,97,88,81,77,74,57,,,,,,,,,,,,,,
AMR,SLV,El Salvador,HepB3,91,93,92,92,89,89,91,98,99,96,89,90,94,81,75,99,1,,,,,,,,,,,,,,,,,,,
AFR,GNQ,Equatorial Guinea,HepB3,16,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,ERI,Eritrea,HepB3,95,94,94,94,96,90,92,94,91,94,96,84,91,86,,,,,,,,,,,,,,,,,,,,,,
EUR,EST,Estonia,HepB3,91,93,93,94,94,94,95,94,95,95,95,90,,,,,,,,,,,,,,,,,,,,,,,,
AFR,ETH,Ethiopia,HepB3,86,77,72,69,65,62,56,52,47,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,FJI,Fiji,HepB3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,90,82,60,88,,,,,,,,,,,,,
EUR,FIN,Finland,HepB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,FRA,France,HepB3,83,83,74,78,74,65,51,47,42,39,35,35,28,29,28,26,24,27,,,,,,,,,,,,,,,,,,
AFR,GAB,Gabon,HepB3,80,70,79,82,75,67,79,82,75,52,28,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,GMB,Gambia (the),HepB3,97,96,97,98,96,97,97,98,97,95,95,95,94,92,91,91,93,92,94,88,87,57,56,,78,,,,,,,,,,,
EUR,GEO,Georgia,HepB3,94,91,96,92,89,95,54,89,94,84,79,64,48,51,61,55,,,,,,,,,,,,,,,,,,,,
EUR,DEU,Germany,HepB3,88,88,88,88,88,88,88,87,86,87,90,88,90,87,86,84,81,81,71,57,45,32,15,,,,,,,,,,,,,
AFR,GHA,Ghana,HepB3,88,98,90,92,91,94,94,93,94,84,84,80,80,80,,,,,,,,,,,,,,,,,,,,,,
EUR,GRC,Greece,HepB3,96,96,98,98,95,95,95,95,95,94,93,92,92,91,90,89,88,69,50,12,12,2,2,15,10,,,,,,,,,,,
AMR,GRD,Grenada,HepB3,92,97,97,97,94,97,99,99,96,91,99,83,97,98,96,,,,,,,,,,,,,,,,,,,,,
AMR,GTM,Guatemala,HepB3,74,73,85,96,88,94,92,95,85,89,87,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,GIN,Guinea,HepB3,51,51,63,62,63,64,57,57,57,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,GNB,Guinea-Bissau,HepB3,80,80,80,80,80,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,GUY,Guyana,HepB3,95,98,98,97,93,95,98,93,94,93,93,91,90,91,85,,,,,,,,,,,,,,,,,,,,,
AMR,HTI,Haiti,HepB3,60,48,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,HND,Honduras,HepB3,85,85,87,88,91,95,98,93,94,95,98,94,92,95,96,94,,,,,,,,,,,,,,,,,,,,
EUR,HUN,Hungary,HepB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,ISL,Iceland,HepB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,IND,India,HepB3,87,79,70,73,44,38,37,29,6,6,8,6,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,IDN,Indonesia,HepB3,81,81,85,83,81,83,82,82,76,66,65,64,64,63,62,65,77,76,65,62,50,42,43,28,,,,,,,,,,,,
EMR,IRN,Iran (Islamic Republic of),HepB3,98,99,99,98,99,99,99,99,97,98,94,95,98,99,94,99,95,94,93,84,59,62,,,,,,,,,,,,,,
EMR,IRQ,Iraq,HepB3,56,62,66,61,77,72,75,66,56,59,65,62,63,65,66,67,52,3,65,22,57,40,,,,,,,,,,,,,,
EUR,IRL,Ireland,HepB3,95,95,95,95,95,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,ISR,Israel,HepB3,97,97,97,97,98,97,98,99,99,96,96,99,98,98,96,98,96,97,97,96,93,92,92,92,,,,,,,,,,,,
EUR,ITA,Italy,HepB3,93,95,96,96,96,96,96,96,97,96,96,96,95,95,95,94,97,95,95,95,95,95,95,95,95,,,,,,,,,,,
AMR,JAM,Jamaica,HepB3,91,92,93,96,92,94,90,92,92,97,99,98,36,,,,,,,,,,,,,,,,,,,,,,,
WPR,JPN,Japan,HepB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,JOR,Jordan,HepB3,99,98,98,98,98,98,98,97,98,98,95,95,97,95,97,93,92,91,90,85,54,,,,,,,,,,,,,,,
EUR,KAZ,Kazakhstan,HepB3,98,95,99,95,99,99,99,99,94,99,94,99,99,95,95,99,90,49,,,,,,,,,,,,,,,,,,
AFR,KEN,Kenya,HepB3,89,92,93,94,96,90,88,88,81,80,76,73,73,84,,,,,,,,,,,,,,,,,,,,,,
WPR,KIR,Kiribati,HepB3,87,75,95,94,95,91,86,83,96,88,50,67,73,79,85,90,82,89,97,66,36,36,8,6,7,73,,,,,,,,,,
EMR,KWT,Kuwait,HepB3,99,96,99,98,99,99,99,99,99,99,99,94,99,99,99,95,95,99,98,99,99,93,91,38,,,,,,,,,,,,
EUR,KGZ,Kyrgyzstan,HepB3,97,96,97,96,96,96,96,97,94,90,97,99,99,99,57,44,10,,,,,,,,,,,,,,,,,,,
WPR,LAO,Lao People's Democratic Republic (the),HepB3,89,88,87,79,78,74,67,61,50,57,49,45,50,,,,,,,,,,,,,,,,,,,,,,,
EUR,LVA,Latvia,HepB3,94,92,94,90,89,91,92,93,91,94,99,98,98,98,96,95,94,9,,,,,,,,,,,,,,,,,,
EMR,LBN,Lebanon,HepB3,81,81,81,81,81,81,81,81,80,78,77,75,74,77,80,83,86,,,,,,,,,,,,,,,,,,,
AFR,LSO,Lesotho,HepB3,93,93,93,95,96,93,91,88,90,91,87,60,17,,,,,,,,,,,,,,,,,,,,,,,
AFR,LBR,Liberia,HepB3,52,50,76,80,77,47,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,LBY,Libya,HepB3,94,94,96,98,98,98,98,98,98,98,97,99,96,91,93,92,92,92,91,93,92,92,91,88,,,,,,,,,,,,
EUR,LTU,Lithuania,HepB3,94,94,93,93,95,94,95,96,96,95,95,94,95,94,95,98,96,73,,,,,,,,,,,,,,,,,,
EUR,LUX,Luxembourg,HepB3,99,94,94,94,95,94,95,94,87,95,95,94,95,95,86,77,67,58,49,,,,,,,,,,,,,,,,,
AFR,MDG,Madagascar,HepB3,69,73,74,70,73,70,77,77,84,82,81,71,61,51,,,,,,,,,,,,,,,,,,,,,,
AFR,MWI,Malawi,HepB3,88,91,89,96,97,93,93,91,87,99,93,89,84,64,,,,,,,,,,,,,,,,,,,,,,
WPR,MYS,Malaysia,HepB3,99,96,96,97,96,96,96,97,96,95,96,94,95,95,95,97,96,96,97,96,96,94,86,86,89,86,69,,,,,,,,,
SEAR,MDV,Maldives,HepB3,99,99,99,99,96,97,98,98,98,98,98,97,98,98,98,96,90,45,50,96,80,63,21,,,,,,,,,,,,,
AFR,MLI,Mali,HepB3,68,77,71,68,66,72,71,74,74,90,83,73,79,,,,,,,,,,,,,,,,,,,,,,,
EUR,MLT,Malta,HepB3,95,90,94,93,82,75,86,86,82,86,85,85,89,,,,,,,,,,,,,,,,,,,,,,,
WPR,MHL,Marshall Islands (the),HepB3,85,79,80,80,89,97,99,97,93,97,89,72,74,80,76,38,80,80,70,68,47,46,17,24,17,10,3,,,,,,,,,
AFR,MRT,Mauritania,HepB3,73,84,80,80,75,64,64,74,74,68,42,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,MUS,Mauritius,HepB3,97,97,98,98,98,99,99,99,97,97,97,98,97,88,92,88,85,90,90,,,,,,,,,,,,,,,,,
AMR,MEX,Mexico,HepB3,82,84,82,99,98,93,95,97,98,98,98,98,98,97,97,97,,,,,,,,,,,,,,,,,,,,
